Player,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Total,
Alex Rodriguez,New York Yankees,16,11,1,,,,,,,,331
David Ortiz,Boston Red Sox,11,17,,,,,,,,,307
Vladimir Guerrero,Los Angeles Angels,1,,9,8,7,1,1,1,,,196
Manny Ramirez,Boston Red Sox,,,9,1,6,2,6,2,,1,156
Travis Hafner,Cleveland Indians,,,5,6,4,4,3,3,2,,151
Paul Konerko,Chicago White Sox,,,2,4,6,5,1,3,5,,128
Mark Teixeira,Texas Rangers,,,1,5,,3,7,4,2,4,106
Gary Sheffield,New York Yankees,,,,3,2,6,2,2,3,1,84
Mariano Rivera,New York Yankees,,,1,1,1,3,3,1,3,2,59
Derek Jeter,New York Yankees,,,,,1,,3,1,1,,23
Michael Young,Texas Rangers,,,,,,2,,2,1,2,20
Scott Podsednik,Chicago White Sox,,,,,1,1,,1,,1,15
Johnny Damon,Boston Red Sox,,,,,,,1,1,2,1,12
Hideki Matsui,New York Yankees,,,,,,,,2,1,,8
Richie Sexson,Seattle Mariners,,,,,,,,2,,1,7
Miguel Tejada,Baltimore Orioles,,,,,,,,,2,3,7
Chone Figgins,Los Angeles Angels,,,,,,,,,1,4,6
Victor Martinez,Cleveland Indians,,,,,,1,,,,,5
Jason Giambi,New York Yankees,,,,,,,,1,1,,5
Brian Roberts,Baltimore Orioles,,,,,,,,1,,2,5
Jason Varitek,Boston Red Sox,,,,,,,1,,,,4
Eric Chavez,Oakland Athletics,,,,,,,,,1,2,4
Huston Street,Oakland Athletics,,,,,,,,1,,,3
Bartolo Colon,Los Angeles Angels,,,,,,,,,1,1,3
Grady Sizemore,Cleveland Indians,,,,,,,,,1,1,3
Bob Wickman,Cleveland Indians,,,,,,,,,1,,2
Jorge Cantu,Tampa Bay Devil Rays,,,,,,,,,,1,1
Jose Contreras,Chicago White Sox,,,,,,,,,,1,1
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
