Player,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Total,
Justin Morneau,Minnesota Twins,15,8,3,2,,,,,,,320
Derek Jeter,New York Yankees,12,14,,1,,1,,,,,306
David Ortiz,Boston Red Sox,,1,11,5,7,3,1,,,,193
Frank Thomas,Oakland Athletics,,3,4,7,7,4,1,,,,174
Jermaine Dye,Chicago White Sox,,1,2,6,5,7,4,2,1,,156
Joe Mauer,Minnesota Twins,,,3,6,1,2,5,3,2,1,116
Johan Santana,Minnesota Twins,1,,5,1,3,3,3,1,1,3,114
Travis Hafner,Cleveland Indians,,1,,,,2,4,7,3,2,64
Vladimir Guerrero,Los Angeles Angels,,,,,,2,3,4,6,,46
Carlos Guillen,Detroit Tigers,,,,,1,,3,3,2,3,34
Grady Sizemore,Cleveland Indians,,,,,1,,1,1,2,7,24
Jim Thome,Chicago White Sox,,,,,,1,3,,,,17
Alex Rodriguez,New York Yankees,,,,,1,,,2,,1,13
Jason Giambi,New York Yankees,,,,,,1,,,2,,` 9
Johnny Damon,New York Yankees,,,,,1,,,,,1,7
Justin Verlander,Detroit Tigers,,,,,1,,,,,1,7
Ichiro Suzuki,Seattle Mariners,,,,,,1,,,1,,7
Joe Nathan,Minnesota Twins,,,,,,1,,,,1,6
Manny Ramirez,Boston Red Sox,,,,,,,,1,1,1,6
Miguel Tejada,Baltimore Orioles,,,,,,,,,2,1,5
Raul Ibanez,Seattle Mariners,,,,,,,,1,,1,4
Robinson Cano,New York Yankees,,,,,,,,1,,,3
Paul Konerko,Chicago White Sox,,,,,,,,1,,,3
Magglio Ordonez,Detroit Tigers,,,,,,,,1,,,3
Vernon Wells,Toronto Blue Jays,,,,,,,,,1,1,3
Carl Crawford,Tampa Bay Devil Rays,,,,,,,,,1,,2
Mariano Rivera,New York Yankees,,,,,,,,,1,,2
Kenny Rogers,Detroit Tigers,,,,,,,,,1,,2
Chien-Ming Wang,New York Yankees,,,,,,,,,1,,2
Troy Glaus,Toronto Blue Jays,,,,,,,,,,1,1
Gary Matthews Jr.,Texas Rangers,,,,,,,,,,1,1
A.J. Pierzynski,Chicago White Sox,,,,,,,,,,1,1
Michael Young,Texas Rangers,,,,,,,,,,1,1
,,,,,,,,,,,,
,,,,,,,,,,,,
