Player,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Total,
Alex Rodriguez,New York Yankees,26,2,0,0,0,0,0,0,0,0,382
Magglio Ordonez,Detroit Tigers,2,22,4,0,0,0,0,0,0,0,258
Vladimir Guerrero,Los Angeles Angels,0,3,10,9,3,3,0,0,0,0,203
David Ortiz,Boston Red Sox,0,1,11,6,3,0,3,2,1,0,177
Mike Lowell,Boston Red Sox,0,0,1,6,2,7,4,3,2,0,126
Jorge Posada,New York Yankees,0,0,0,3,4,6,6,3,1,2,112
Victor Martinez,Cleveland Indians,0,0,0,1,7,5,4,2,3,1,103
Ichiro Suzuki,Seattle Mariners,0,0,0,1,6,2,5,3,3,1,89
Carlos Pena,Tampa Bay Devil Rays,0,0,2,0,0,2,2,3,8,5,64
Curtis Granderson,Detroit Tigers,0,0,0,1,2,1,0,5,1,10,51
Derek Jeter,New York Yankees,0,0,0,0,1,1,1,0,1,0,17
Grady Sizemore,Cleveland Indians,0,0,0,0,0,1,0,1,3,1,15
J.J. Putz,Seattle Mariners,0,0,0,1,0,0,0,1,1,0,12
C.C. Sabathia,Cleveland Indians,0,0,0,0,0,0,1,1,2,0,11
Torii Hunter,Minnesota Twins,0,0,0,0,0,0,0,1,1,0,5
Orlando Cabrera,Los Angels Angels,0,0,0,0,0,0,0,1,0,2,5
Bobby Abreu,New York Yankees,0,0,0,0,0,0,1,0,0,0,4
John Lackey,Los Angeles Angels,0,0,0,0,0,0,1,0,0,0,4
Placido Polanco,Detroit Tigers,0,0,0,0,0,0,0,1,0,1,4
Justin Morneau,Minnesota Twins,0,0,0,0,0,0,0,1,0,0,3
Chone Figgins,Los Angeles Angels,0,0,0,0,0,0,0,0,1,1,3
Josh Beckett,Boston Red Sox,0,0,0,0,0,0,0,0,0,2,2
Fausto Carmona,Cleveland Indians,0,0,0,0,0,0,0,0,0,1,1
Frank Thomas,Toronto Blue Jays,0,0,0,0,0,0,0,0,0,1,1
