Player,,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Total
"Albert Pujols, St. Louis",,18,10,2,1,,,1,,,,369
"Ryan Howard, Philadelphia",,12,8,6,,1,1,2,,,1,308
"Ryan Braun, Milwaukee",,,2,3,5,5,2,2,3,2,1,139
"Manny Ramirez, Los Angeles",,,2,4,7,2,3,2,,1,2,138
"Lance Berkman, Houston",,,2,4,4,1,3,3,4,1,1,126
"CC Sabathia, Milwaukee",,,4,5,1,2,2,3,,1,2,121
"David Wright, New York",,,2,1,4,3,3,2,5,2,1,115
"Brad Lidge, Philadelphia",,2,,2,,4,3,2,3,1,2,104
"Carlos Delgado, New York",,,,5,1,2,5,,2,3,,96
"Aramis Ramirez, Chicago",,,,,2,4,1,1,4,3,1,66
"Hanley Ramirez, Florida",,,,,2,2,2,1,2,2,5,55
"Chipper Jones, Atlanta",,,1,,,,2,4,1,2,2,44
"Geovanny Soto, Chicago",,,,,3,1,,3,,1,,41
"Johan Santana, New York",,,1,,1,,1,1,,2,1,30
"Chase Utley, Philadelphia",,,,,1,1,1,1,,3,2,30
"Ryan Ludwick, St. Louis",,,,,,,,1,2,3,1,17
"Brandon Webb, Arizona",,,,,,2,,,,1,,14
"Adrian Gonzalez, San Diego",,,,,,,,1,1,1,4,13
"Matt Holliday, Colorado",,,,,,,1,1,1,,1,13
"Prince Fielder, Milwaukee",,,,,,,1,,1,1,1,11
"Derrek Lee, Chicago",,,,,,1,,1,,,,10
"Carlos Beltran, New York",,,,,,1,,,1,,1,10
"Tim Lincecum, San Francisco",,,,,,,1,,,1,2,9
"Jose Reyes, New York",,,,,,,,,1,,,3
"Jose Valverde, Houston",,,,,,,,,1,,,3
"Stephen Drew, Arizona",,,,,,,,,,1,,2
"Nate McClouth, Pittsburgh",,,,,,,,,,,1,1
