Player,,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Total
"Joe Mauer, Twins",,27,1,,,,,,,,,387
"Mark Teixeira, Yankees",,,15,6,4,1,1,,1,,,225
"Derek Jeter, Yankees",,,9,5,3,5,3,,1,1,1,193
"Miguel Cabrera, Tigers",,1,1,5,8,4,3,2,,1,3,171
"Kendry Morales, Angels",,,,3,9,10,3,2,,,,170
"Kevin Youkilis, Red Sox",,,2,7,3,4,2,2,4,,1,150
"Jason Bay, Red Sox",,,,1,1,,4,5,4,5,1,78
"Ben Zobrist, Rays",,,,,,,1,4,3,1,2,34
"Ichiro Suzuki, Mariners",,,,,,,2,,4,4,3,33
"Alex Rodriguez, Yankees",,,,1,,3,,,,2,1,31
"Chone Figgins, Angels",,,,,,,3,1,2,3,,31
"Aaron Hill, Blue Jays",,,,,,1,,2,2,,3,23
"Bobby Abreu, Angels",,,,,,,2,1,1,1,4,23
"Mariano Rivera, Yankees",,,,,,,2,1,1,,,17
"Adam Lind, Blue Jays",,,,,,,,1,1,2,3,14
"Michael Young, Rangers",,,,,,,,1,1,2,2,13
"Zack Greinke, Royals",,,,,,,1,1,,1,1,12
"Robinson Cano, Yankees",,,,,,,,3,,,,12
"Evan Longoria, Rays",,,,,,,,1,1,1,,9
"Justin Verlander, Tigers",,,,,,,1,,,1,,7
"CC Sabathia, Yankees",,,,,,,,1,,,,4
"Michael Cuddyer, Twins",,,,,,,,,1,,1,4
"Martinez, Indians/Red Sox",,,,,,,,,,2,,4
"Jason Kubel, Twins",,,,,,,,,1,,,3
"Placido Polanco, Tigers",,,,,,,,,,1,,2
"Felix Hernandez, Mariners",,,,,,,,,,,1,1
"Ian Kinsler, Rangers",,,,,,,,,,,1,1
