Player,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Total,
Dustin Pedroia,Boston Red Sox,16,6,4,1,0,0,0,0,0,0,317
Justin Morneau,Minnesota Twins,7,7,6,3,3,1,1,0,0,0,257
Kevin Youkilis,Boston Red Sox,2,4,4,9,2,4,1,2,0,0,201
Joe Mauer,Minnesota Twins,2,8,1,3,4,3,3,2,1,0,188
Carlos Quentin,Chicago White Sox,0,1,4,8,4,4,4,0,1,1,160
Francisco Rodriguez,Los Angeles Angels,1,2,6,1,6,0,3,2,0,2,143
Josh Hamilton,Texas Rangers,0,0,2,2,3,7,3,2,4,3,112
Alex Rodriguez,New York Yankees,0,0,0,0,1,1,4,1,4,7,45
Carlos Pena,Tampa Bay Rays,0,0,1,0,2,0,2,3,2,3,44
Grady Sizemore,Cleveland Indians,0,0,0,0,0,2,1,5,6,1,42
Evan Longoria,Tampa Bay Rays,0,0,0,0,0,2,2,5,2,1,38
Cliff Lee,Cleveland Indians,0,0,0,1,1,1,1,0,1,0,24
Miguel Cabrera,Detroit Tigers,0,0,0,0,0,1,0,1,4,1,17
Vladimir Guerrero,Los Angeles Angels,0,0,0,0,0,0,2,2,1,0,16
Jermaine Dye,Chicago White Sox,0,0,0,0,1,0,0,2,0,2,14
Aubrey Huff,Baltimore Orioles,0,0,0,0,0,1,0,0,2,3,12
Milton Bradley,Texas Rangers,0,0,0,0,0,1,1,0,0,0,9
Jason Bartlett,Tampa Bay Rays,0,0,0,0,1,0,0,0,0,0,6
Mike Mussina,New York Yankees,0,0,0,0,0,0,0,1,0,0,3
Raul Ibanez,Seattle Mariners,0,0,0,0,0,0,0,0,0,1,1
Ian Kinsler,Texas Rangers,0,0,0,0,0,0,0,0,0,1,1
Ichiro Suzuki,Seattle Mariners,0,0,0,0,0,0,0,0,0,1,1
Mark Teixeira,Los Angeles Angels,0,0,0,0,0,0,0,0,0,1,1
