Player,,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Total
"Josh Hamilton, Texas",,22,4,,2,,,,,,,358
"Miguel Cabrera, Detroit",,5,11,10,1,1,,,,,,262
"Robinson Cano, New York",,,12,12,1,3,,,,,,229
"Jose Bautista, Toronto",,1,,4,8,5,1,6,,1,2,165
"Paul Konerko, Chicago",,,,,4,7,6,5,2,1,2,130
"Evan Longoria, Tampa Bay",,,,,2,3,6,5,5,1,1,100
"Carl Crawford, Tampa Bay",,,1,,6,3,2,,3,4,2,98
"Joe Mauer, Minnesota",,,,2,1,3,6,2,3,4,1,97
"Adrian Beltre, Boston",,,,,1,1,3,4,9,6,,83
"Delmon Young, Minnesota",,,,,1,,2,4,2,1,3,44
"Vladimir Guerrero, Texas",,,,,,,,2,1,4,3,22
"Rafael Soriano, Tampa Bay",,,,,1,1,,,1,1,3,21
"CC Sabathia, New York",,,,,,,,,2,3,1,13
"Shin-Soo Choo, Cleveland",,,,,,,1,,,1,2,9
"Alex Rodriguez, New York",,,,,,,1,,,1,1,8
"Felix Hernandez, Seattle",,,,,,1,,,,,,6
"Ichiro Suzuki, Seattle",,,,,,,,,,,3,3
"Jim Thome, Minnesota",,,,,,,,,,,2,2
"Joakim Soria, Kansas City",,,,,,,,,,,1,1
"Mark Teixeira, New York",,,,,,,,,,,1,1
