Player,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Total,
BARRY BONDS,Giants,28,2,2,,,,,,,,426
ALBERT PUJOLS,Cardinals,3,29,,,,,,,,,303
GARY SHEFFIELD,Braves,1,1,18,9,2,1,,,,,247
JIM THOME,Phillies,,,5,12,9,5,,,,,203
JAVY LOPEZ,Braves,,,4,3,5,8,8,1,,1,159
ERIC GAGNE,Dodgers,,,3,6,5,4,4,2,2,1,143
TODD HELTON,Rockies,,,,2,3,2,2,6,2,3,75
SAMMY SOSA,Cubs,,,,,1,4,2,2,6,1,53
MARK PRIOR,Cubs,,,,,2,3,1,1,4,2,44
JUAN PIERRE,Marlins,,,,,1,,5,3,1,2,39
MIKE LOWELL,Marlins,,,,,,2,2,3,1,1,30
RICHIE SEXSON,Brewers,,,,,1,1,,1,1,5,21
ANDRUW JONES,Braves,,,,,,1,1,1,1,1,15
JEFF BAGWELL,Astros,,,,,,1,,2,1,1,14
EDGAR RENTERIA,Cardinals,,,,,1,,,,1,5,13
PRESTON WILSON,Rockies,,,,,,,1,1,2,1,12
VLADIMIR GUERRERO,Expos,,,,,,,2,,1,,10
JOHN SMOLTZ,Braves,,,,,1,,,1,,,9
MARCUS GILES,Braves,,,,,1,,,,1,1,9
RICHARD HIDALGO,Astros,,,,,,,,1,2,2,9
LUIS CASTILLO,Marlins,,,,,,,2,,,,8
JASON SCHMIDT,Giants,,,,,,,,1,1,2,7
IVAN RODRIGUEZ,Marlins,,,,,,,1,,,1,5
BILLY WAGNER,Astros,,,,,,,,,2,1,5
LUIS GONZALEZ,Diamondbacks,,,,,,,,,2,,4
CHIPPER JONES,Braves,,,,,,,1,,,,4
BOBBY ABREU,Phillies,,,,,,,,1,,,3
MIGUEL CABRERA,Marlins,,,,,,,,1,,,3
JIM EDMONDS,Cardinals,,,,,,,,1,,,3
MARK GRUDZIELANEK,Cubs,,,,,,,,1,,,3
DERREK LEE,Marlins,,,,,,,,1,,,3
RUSS ORTIZ,Braves,,,,,,,,1,,,3
RAFAEL FURCAL,Braves,,,,,,,,,1,,2
DONTRELLE WILLIS,Marlins,,,,,,,,,,1,1
,,,,,,,,,,,,
