Player,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Total,
ALEX RODRIGUEZ,Rangers,6,5,6,6,2,1,1,,1,,242
CARLOS DELGADO,Blue Jays,5,8,3,1,1,2,4,2,1,,213
JORGE POSADA,Yankees,5,4,4,3,4,1,1,,1,,194
SHANNON STEWART,Twins,3,2,2,3,2,3,2,1,2,1,140
DAVID ORTIZ,Red Sox,4,3,2,2,,3,,,1,,130
MANNY RAMIREZ,Red Sox,1,3,3,1,1,1,2,2,1,1,100
NOMAR GARCIAPARRA,Red Sox,1,2,1,,6,2,2,1,,2,99
VERNON WELLS,Blue Jays,1,,1,3,1,1,4,3,2,1,84
CARLOS BELTRAN,Royals,,,1,4,2,2,1,2,3,3,77
BRET BOONE,Mariners,,,1,1,3,2,,4,4,2,65
MIGUEL TEJADA,Athletics,1,,1,1,1,,2,,2,2,49
BILL MUELLER,Red Sox,,,2,,1,2,3,,,1,45
JASON GIAMBI,Yankees,1,,,1,,1,1,1,,3,36
GARRET ANDERSON,Angels,,,,1,2,1,,3,1,,35
KEITH FOULKE,Athletics,,,1,,,,,1,3,3,20
FRANK THOMAS,White Sox,,,,1,,,1,2,1,1,20
ERIC CHAVEZ,Athletics,,,,,1,1,,2,,1,18
CARLOS LEE,White Sox,,,,,,1,1,1,2,,16
MAGGLIO ORDONEZ,White Sox,,,,,,1,1,1,1,2,16
ALFONSO SORIANO,Yankees,,,,,1,1,,1,,1,15
DEREK JETER,Yankees,,1,,,,,,,,1,10
PEDRO MARTINEZ,Red Sox,,,,,,1,,,1,,7
ICHIRO SUZUKI,Mariners,,,,,,1,,,,1,6
ESTEBAN LOAIZA,White Sox,,,,,,,1,,,,4
JASON VARITEK,Red Sox,,,,,,,1,,,,4
AUBREY HUFF,Devil Rays,,,,,,,,,1,2,4
MARIANO RIVERA,Yankees,,,,,,,,1,,,3
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
