Player,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Total,
Jimmy Rollins,Philadelphia Phillies,16,7,4,4,1,0,0,0,0,0,353
Matt Holliday,Colorado Rockies,11,18,1,1,0,1,0,0,0,0,336
Prince Fielder,Milwaukee Brewers,5,6,17,3,0,0,0,1,0,0,284
David Wright,New York Mets,0,1,4,12,7,1,1,2,0,0,182
Ryan Howard,Philadelphia Phillies,0,0,2,6,3,3,3,2,0,3,112
Chipper Jones,Atlanta Braves,0,0,1,3,3,7,5,1,1,0,107
Jake Peavy,San Diego Padres,0,0,0,2,5,5,4,1,4,1,97
Chase Utley,Philadelphia Phillies,0,0,1,0,5,2,6,4,1,3,89
Albert Pujols,St. Louis Cardinals,0,0,0,0,1,2,2,3,6,5,50
Hanley Ramirez,Florida Marlins,0,0,0,0,3,2,0,4,4,1,49
Eric Byrnes,Arizona Diamondbacks,0,0,0,0,0,1,3,4,7,0,43
Alfonso Soriano,Chicago Cubs,0,0,1,0,1,2,2,1,1,2,39
Aramis Ramirez,Chicago Cubs,0,0,0,0,2,2,1,2,2,0,36
Jose Valverde,Arizona Diamondbacks,0,0,0,0,1,2,0,0,1,1,19
Miguel Cabrera,Florida Marlins,0,0,0,1,0,0,2,0,0,3,18
Jose Reyes,New York Mets,0,0,0,0,0,1,2,0,1,1,16
Brandon Webb,Arizona Diamondbacks,0,0,0,0,0,0,1,1,2,4,15
Troy Tulowitzki,Colorado Rockies,0,0,1,0,0,0,0,1,0,2,13
Carlos Lee,Houston Astros,0,0,0,0,0,0,0,1,1,2,7
Adrian Gonzalez,San Diego Padres,0,0,0,0,0,1,0,0,0,1,6
Carlos Beltran,New York Mets,0,0,0,0,0,0,0,2,0,0,6
Brandon Phillips,Cincinnati Reds,0,0,0,0,0,0,0,1,0,0,3
Aaron Rowand,Philadelphia Phillies,0,0,0,0,0,0,0,1,0,0,3
Brad Hawpe,Colorado Rockies,0,0,0,0,0,0,0,0,1,0,2
Ryan Braun,Milwaukee Brewers,0,0,0,0,0,0,0,0,0,2,2
Carlos Marmol,Chicago Cubs,0,0,0,0,0,0,0,0,0,1,1
