Player,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Total,
BARRY BONDS,San Francisco Giants,24,7,1,,,,,,,,407
ADRIAN BELTRE,Los Angeles Dodgers,6,21,3,2,,,,,,,311
ALBERT PUJOLS,St. Louis Cardinals,1,1,20,5,4,1,,,,,247
SCOTT ROLEN,St. Louis Cardinals,1,3,7,12,5,3,,,,,226
JIM EDMONDS,St. Louis Cardinals,,,,5,12,6,2,3,3,,160
J.D. DREW,Atlanta Braves,,,,1,5,6,6,7,,2,114
LANCE BERKMAN,Houston Astros,,,,2,4,6,7,1,,1,100
ROGER CLEMENS,Houston Astros,,,1,1,,4,3,3,2,1,61
MARK LORETTA,San Diego Padres,,,,1,,1,3,5,5,1,50
ARAMIS RAMIREZ,Chicago Cubs,,,,1,1,,2,2,5,5,42
ERIC GAGNE,Los Angeles Dodgers,,,,,,3,3,1,,,30
CARLOS BELTRAN,Houston Astros,,,,1,,,1,3,,,20
JEFF KENT,Houston Astros,,,,1,,1,,1,1,1,18
STEVE FINLEY,Los Angeles/Arizona,,,,,,1,2,,1,,15
MOISES ALOU,Chicago Cubs,,,,,,,,3,2,2,15
JUAN PIERRE,Florida Marlins,,,,,,,1,,1,3,9
TODD HELTON,Colorado Rockies,,,,,,,,1,1,4,9
JOHNNY ESTRADA,Atlanta Braves,,,,,,,1,,2,,8
RANDY JOHNSON,Arizona D-backs,,,,,,,1,,1,1,7
JIM THOME,Philadelphia Phillies,,,,,,,,,2,3,7
JOHN SMOLTZ,Atlanta Braves,,,,,1,,,,,,6
MIGUEL CABRERA,Florida Marlins,,,,,,,,,1,3,5
ARMANDO BENITEZ,Flo rida Marlins,,,,,,,,1,,,3
JEROMY BURNITZ,Colorado Rockies,,,,,,,,1,,,3
BOBBY ABREU,Philadelphia Phillies,,,,,,,,,1,1,3
VINNY CASTILLA,Colorado Rockies,,,,,,,,,1,1,3
ROY OSWALT,Houston Astros,,,,,,,,,1,1,3
ADAM DUNN,Cincinnati Reds,,,,,,,,,1,,2
CARLOS ZAMBRANO,Chicago Cubs,,,,,,,,,1,,2
PHIL NEVIN,San Diego Padres,,,,,,,,,,1,1
JIMMY ROLLINS,Philadelphia Phillies,,,,,,,,,,1,1
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
