Player,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Total,
Albert Pujols,St. Louis Cardinals,18,14,,,,,,,,,378
Andruw Jones,Atlanta Braves,13,17,2,,,,,,,,351
Derrek Lee,Chicago Cubs,1,1,30,,,,,,,,263
Morgan Ensberg,Houston Astros,,,,10,7,7,2,1,1,,160
Miguel Cabrera,Florida Marlins,,,,13,4,1,2,3,4,1,146
Carlos Delgado,Florida Marlins,,,,2,6,2,4,2,1,,84
Pat Burrell,Philadelphia Phillies,,,,,4,6,1,,3,1,65
Chris Carpenter,St. Louis Cardinals,,,,1,3,3,1,2,1,,52
Brian Giles,San Diego Padres,,,,1,2,2,2,1,2,4,48
Jimmy Rollins,Philadelphia Phillies,,,,2,1,,2,4,1,3,45
Dontrelle Willis,Florida Marlins,,,,,2,3,2,1,2,,42
Jason Bay,Pittsburgh Pirates,,,,1,,1,4,1,5,,41
Chase Utley,Philadelphia Phillies,,,,,,2,2,,1,2,22
Lance Berkman,Houston Astros,,,,1,,,1,1,3,1,21
Bobby Abreu,Philadelphia Phillies,,,,,1,1,1,2,,,21
Chad Cordero,Washington Nationals,,,,,,1,2,,2,4,21
Trevor Hoffman,San Diego Padres,,,,1,,,2,1,,1,19
Carlos Lee,Milwaukee Brewers,,,,,,1,1,2,1,2,19
Jeff Kent,Los Angeles Dodgers,,,,,1,1,,2,,1,18
David Wright,New York Mets,,,,,1,,1,2,,2,18
David Eckstein,St. Louis Cardinals,,,,,,1,2,,,2,15
Roger Clemens,Houston Astros,,,,,,,,2,1,,8
Roy Oswalt,Houston Astros,,,,,,,,1,1,1,6
Ken Griffey Jr.,Cincinnati Reds,,,,,,,,1,1,,5
Andy Pettitte,Houston Astros,,,,,,,,,2,1,5
Jim Edmonds,St. Louis Cardinals,,,,,,,,1,,,3
Cliff Floyd,New York Mets,,,,,,,,1,,,3
Marcus Giles,Atlanta Braves,,,,,,,,1,,,3
Adam Dunn,Cincinnati Reds,,,,,,,,,,3,3
Scott Eyre,San Francisco Giants,,,,,,,,,,1,1
Brad Lidge,Houston Astros,,,,,,,,,,1,1
Jose Reyes,New York Mets,,,,,,,,,,1,1
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
